Name,Email,Age,Gender,Location,Item purchased,Purchased date,Category,Quantity,Price,Last purchase,Frequency of purchase,Preferred Brands,Discount sensitivity,Browsing history,Ratings
Jodi Gonzales,kristichambers@example.org,48,Male,Martinburgh,First Aid,29-02-2024,Health & Wellness,4,266.64,09-01-2024,11,Neosporin,High,['Beauty'],4
Ana Black,huffmanolivia@example.net,65,Female,South Michaelmouth,Table,05-01-2024,Furniture,5,340.75,17-12-2023,19,Mainstays,High,"['Home Improvement', 'Electronics']",3
Lori Meyers,shaun67@example.org,24,Female,Port Mary,Bread,10-05-2024,Groceries,2,30.23,10-09-2023,11,Wonder,Medium,"['Home Improvement', 'Furniture', 'Health & Wellness']",2
Suzanne Carter,angelaclark@example.com,31,Other,North Emily,Butter,16-02-2024,Groceries,5,16.69,02-10-2023,20,Kerrygold,Low,['Furniture'],2
Deborah Kirk,adriana02@example.com,58,Female,Jonesborough,Pain Relief,04-01-2024,Health & Wellness,1,358.78,21-07-2023,17,Tylenol,High,"['Toys', 'Beauty', 'Home Improvement']",2
Dawn Arias,sreeves@example.com,58,Male,North Allisonmouth,Bed,24-01-2024,Furniture,4,148.64,18-06-2023,19,Serta,Low,"['Electronics', 'Groceries', 'Appliances']",4
Kathleen Costa,robertcook@example.net,25,Female,Gallaghermouth,Jacket,09-03-2024,Clothing,5,66.03,22-06-2023,18,Columbia,Low,"['Toys', 'Appliances', 'Beauty', 'Health & Wellness', 'Health & Wellness']",4
Michael Johnson,grantallison@example.com,31,Male,Cherylstad,Tent,18-07-2024,Sports & Outdoors,1,236,03-12-2023,5,Ozark Trail,Low,"['Sports & Outdoors', 'Electronics', 'Electronics']",2
Jeremiah Decker,qmiller@example.com,54,Male,Lake Ashley,Milk,24-02-2024,Groceries,5,234.68,23-06-2023,1,Fairlife,Medium,['Groceries'],3
Cassidy Blake,edward69@example.net,39,Other,Robinsonfort,Smartphone,05-01-2024,Electronics,3,79.38,24-01-2023,19,Google,High,"['Beauty', 'Health & Wellness', 'Electronics', 'Appliances', 'Beauty']",2
Abigail Lewis,mcgeeyvette@example.com,40,Other,North Mariashire,Hair Care,17-06-2024,Beauty,5,444.41,26-10-2023,8,Pantene,High,"['Appliances', 'Groceries', 'Beauty', 'Furniture', 'Beauty']",3
Dawn Le,egreen@example.com,52,Other,Zacharyshire,Jacket,17-02-2024,Clothing,4,453.72,13-11-2023,14,Carhartt,Medium,"['Appliances', 'Appliances', 'Health & Wellness', 'Clothing', 'Sports & Outdoors']",2
Eric Collins,wgordon@example.com,19,Other,Ferrellberg,Supplements,29-05-2024,Health & Wellness,2,482.97,16-08-2023,1,Nature Made,Medium,"['Health & Wellness', 'Health & Wellness']",2
Sherri Ramirez,woodthomas@example.net,52,Male,Lake Dianeland,Makeup,21-06-2024,Beauty,3,467.27,07-11-2023,10,CoverGirl,Low,"['Appliances', 'Home Improvement']",4
Jerry Ellis,emilytaylor@example.com,69,Male,Lake Juanmouth,Refrigerator,08-03-2024,Appliances,5,255.35,05-09-2023,15,Samsung,High,"['Appliances', 'Sports & Outdoors', 'Toys', 'Clothing', 'Sports & Outdoors']",4
Lori Kent,garciajoshua@example.org,43,Male,Port Jenniferville,Shoes,04-04-2024,Clothing,4,490.77,01-09-2023,10,Adidas,High,"['Electronics', 'Sports & Outdoors', 'Home Improvement', 'Toys']",3
Michelle Thompson,paula48@example.net,58,Other,New Sarahberg,Paint,15-04-2024,Home Improvement,3,297.39,14-07-2023,15,Sherwin-Williams,Medium,"['Beauty', 'Health & Wellness', 'Toys']",2
Jennifer Ramirez,mistymunoz@example.org,23,Other,Burchton,Lego,03-03-2024,Toys,4,346.6,13-11-2023,3,Lego,High,"['Health & Wellness', 'Furniture']",3
Eric Campbell,phamilton@example.org,19,Male,Lake Vickieside,Smartphone,27-07-2024,Electronics,3,54.52,02-09-2023,12,Samsung,High,"['Groceries', 'Beauty', 'Health & Wellness']",2
Karen Wright,rachelbrown@example.org,35,Female,New Jeremy,Washer,16-05-2024,Appliances,5,82.46,16-11-2023,16,LG,Low,"['Appliances', 'Clothing']",4
Jonathan Willis,jacobsdeborah@example.net,67,Male,Port Alexandra,Butter,26-06-2024,Groceries,2,89.67,18-05-2024,2,Great Value,High,"['Furniture', 'Furniture', 'Health & Wellness']",4
Evelyn Cook,silvajulie@example.net,41,Other,New Krystal,Fishing Rod,23-05-2024,Sports & Outdoors,3,34.64,26-12-2023,1,Shakespeare,Low,['Toys'],3
Shawn James,anthony63@example.com,36,Male,Jenniferberg,Makeup,08-01-2024,Beauty,5,283.14,29-10-2023,8,CoverGirl,Low,['Sports & Outdoors'],2
Samantha Ramirez,elizabeth99@example.org,37,Female,Craigview,Lego,20-04-2024,Toys,3,62.97,15-08-2023,8,Lego,Medium,"['Groceries', 'Clothing', 'Toys']",2
Kevin Stokes,bonilladebra@example.com,67,Other,Josefurt,Fragrances,17-04-2024,Beauty,4,89.04,16-01-2024,11,Calvin Klein,High,"['Toys', 'Groceries']",2
Jonathan Jackson,johnmartinez@example.com,37,Male,Matthewsport,TV,28-04-2024,Electronics,3,33.54,24-12-2023,6,Sony,High,"['Furniture', 'Beauty', 'Home Improvement', 'Toys']",2
Robert Collins,mannkathryn@example.org,65,Other,West Jason,Table,24-05-2024,Furniture,5,369.38,31-12-2023,3,Sauder,High,"['Beauty', 'Home Improvement', 'Appliances', 'Home Improvement']",2
Teresa Rivas,justinpeters@example.org,37,Female,North Paul,Makeup,28-04-2024,Beauty,5,124.28,25-10-2023,12,CoverGirl,Low,['Health & Wellness'],4
Andrea Miller,jessicaroberts@example.com,27,Other,Garnerville,Laptop,02-03-2024,Electronics,3,450.04,14-10-2023,20,Dell,High,"['Home Improvement', 'Clothing']",5
Brian Campos,ryan79@example.net,32,Female,South Biancaburgh,Laptop,28-05-2024,Electronics,2,458.64,03-04-2024,5,Dell,Low,"['Groceries', 'Home Improvement']",2
Tyler Bullock,mgarcia@example.net,49,Other,Lindatown,Microwave,17-02-2024,Appliances,5,126.85,05-10-2023,9,GE,High,"['Toys', 'Electronics', 'Electronics', 'Sports & Outdoors', 'Electronics']",4
Kathleen Castillo,katherine90@example.com,18,Other,North Erica,Paint,09-01-2024,Home Improvement,4,61.76,15-07-2023,6,Rust-Oleum,Medium,"['Electronics', 'Sports & Outdoors']",3
Stanley Miranda,barbara31@example.org,44,Other,Lake Scott,Skincare,23-02-2024,Beauty,4,200.13,22-01-2024,16,Olay,High,"['Clothing', 'Sports & Outdoors', 'Home Improvement', 'Clothing']",3
Michele Thompson,zacharynorman@example.net,36,Male,New Mitchellland,Doll,08-05-2024,Toys,5,422.67,20-04-2024,6,Barbie,Low,"['Health & Wellness', 'Groceries']",5
Luis Anderson,judygonzalez@example.net,21,Female,Patricialand,Butter,06-06-2024,Groceries,1,224.19,21-12-2023,6,Kerrygold,High,"['Groceries', 'Beauty']",3
Ethan Morris,johnsongary@example.org,40,Other,Kristopherstad,Doll,13-06-2024,Toys,1,198.86,05-02-2024,2,Disney,High,"['Beauty', 'Groceries', 'Furniture', 'Furniture']",3
Joseph Mccarthy,xburton@example.org,54,Female,New Hannah,Refrigerator,07-04-2024,Appliances,3,119.42,04-01-2024,19,Whirlpool,Low,['Home Improvement'],5
Alyssa Sutton,kevinlee@example.org,22,Female,Natalieland,Refrigerator,12-05-2024,Appliances,1,267.45,22-01-2024,4,Samsung,High,"['Home Improvement', 'Electronics', 'Clothing', 'Health & Wellness']",1
Jennifer Hall,benitezrobert@example.com,53,Male,Port Mark,Refrigerator,16-06-2024,Appliances,5,436.89,11-12-2023,5,LG,Medium,"['Home Improvement', 'Toys', 'Beauty', 'Electronics', 'Health & Wellness']",5
Brian Snyder,carrie35@example.net,70,Other,Amandaburgh,Headphones,13-03-2024,Electronics,2,183.19,21-01-2024,19,Sony,Medium,"['Clothing', 'Sports & Outdoors', 'Clothing', 'Clothing']",2
Sherri Wilson,eugene55@example.com,47,Female,Lake Andrew,Jacket,04-01-2024,Clothing,5,37.17,24-09-2023,12,Patagonia,Medium,"['Beauty', 'Sports & Outdoors']",2
Jordan May,guzmanrichard@example.net,69,Other,New Stevenport,Butter,14-03-2024,Groceries,3,173.15,24-02-2024,15,Kerrygold,Medium,"['Appliances', 'Furniture', 'Beauty']",4
Heather Williams,lgillespie@example.com,57,Other,Mistymouth,TV,22-07-2024,Electronics,5,302.6,03-05-2024,3,Samsung,High,"['Beauty', 'Electronics', 'Clothing', 'Toys', 'Sports & Outdoors']",2
William Salinas,jayrobertson@example.com,40,Other,Port Brandon,Smartphone,04-06-2024,Electronics,5,251.21,09-09-2023,15,OnePlus,High,['Beauty'],4
Cheryl Whitney,bmartinez@example.net,19,Other,Scottport,Puzzle,21-04-2024,Toys,4,21.78,18-09-2023,15,Melissa & Doug,High,"['Sports & Outdoors', 'Appliances', 'Electronics']",2
Julie Brown,sandra02@example.org,19,Other,East Amberville,Shirt,06-05-2024,Clothing,5,65.89,06-01-2024,13,Fruit of the Loom,Low,['Furniture'],3
Jade Thomas,xrandall@example.net,34,Other,Hardymouth,Fragrances,09-02-2024,Beauty,1,268.11,12-05-2023,6,Calvin Klein,Medium,"['Sports & Outdoors', 'Sports & Outdoors', 'Furniture', 'Home Improvement', 'Beauty']",5
Samantha Miller,samantha96@example.net,25,Female,New Susan,Headphones,06-07-2024,Electronics,3,499.13,22-07-2023,9,Bose,High,"['Electronics', 'Furniture']",3
Robin Rowe,lclark@example.com,58,Other,New Robert,Fishing Rod,10-06-2024,Sports & Outdoors,5,18.45,01-12-2023,19,Ugly Stik,High,"['Appliances', 'Beauty']",5
Matthew Larsen,pstafford@example.org,65,Female,Rachelmouth,Supplements,05-07-2024,Health & Wellness,4,8.04,22-05-2024,8,Optimum Nutrition,Low,"['Health & Wellness', 'Health & Wellness', 'Home Improvement', 'Groceries', 'Appliances']",2
Timothy Gonzalez,frank79@example.com,59,Male,North Robert,Kayak,11-07-2024,Sports & Outdoors,5,33.88,20-07-2023,16,Pelican,Low,['Furniture'],3
Jill Bailey,glennkatherine@example.org,18,Other,West Johnhaven,Sofa,12-03-2024,Furniture,3,244.13,20-11-2023,12,Serta,High,"['Appliances', 'Furniture', 'Home Improvement']",4
Harold Stewart,fisherfrank@example.net,46,Male,Taylorport,Skincare,04-07-2024,Beauty,1,134.46,14-05-2024,6,CeraVe,Medium,"['Appliances', 'Health & Wellness']",3
James Duffy,barreraashley@example.org,19,Female,Lowerymouth,Laptop,31-05-2024,Electronics,4,70.74,18-02-2024,19,Apple,Low,"['Appliances', 'Beauty', 'Furniture', 'Sports & Outdoors', 'Appliances']",4
Stephanie Green,deborahdavis@example.com,28,Female,Smithfurt,Microwave,05-06-2024,Appliances,4,458.25,28-03-2024,11,LG,Medium,"['Clothing', 'Electronics', 'Furniture', 'Furniture', 'Groceries']",5
John Wilkinson,pamela68@example.org,54,Other,New Vicki,Fishing Rod,01-03-2024,Sports & Outdoors,4,25.05,04-11-2023,17,Penn,Medium,"['Health & Wellness', 'Groceries', 'Health & Wellness', 'Clothing']",3
Kevin Beck,martin16@example.net,37,Other,Mullinsfurt,Headphones,29-07-2024,Electronics,3,54.96,01-03-2024,8,JBL,Low,"['Beauty', 'Groceries', 'Health & Wellness']",3
Anthony Benton,spotter@example.com,58,Other,Bonnieton,Tool Set,13-02-2024,Home Improvement,5,299.28,05-10-2023,5,Craftsman,Medium,"['Furniture', 'Sports & Outdoors', 'Appliances', 'Toys']",5
Michael Higgins,robert18@example.net,46,Female,Williamsview,Smartphone,26-04-2024,Electronics,2,123.35,17-02-2024,7,Apple,High,"['Health & Wellness', 'Health & Wellness', 'Appliances', 'Groceries']",3
Steven Lane,ychavez@example.com,31,Other,Staceyfurt,Lego,21-03-2024,Toys,4,374.3,22-09-2023,9,Lego,High,"['Home Improvement', 'Appliances']",2
Guy Hughes,msmith@example.net,60,Other,West Debbie,Washer,10-02-2024,Appliances,4,384.5,13-12-2023,4,Whirlpool,Medium,"['Home Improvement', 'Furniture', 'Furniture']",2
David Thomas,amymcconnell@example.com,62,Female,Chapmanville,Car,04-07-2024,Toys,1,383.58,29-11-2023,13,Disney,Medium,"['Electronics', 'Health & Wellness', 'Furniture', 'Health & Wellness']",1
Kelly Patterson,robertssusan@example.org,42,Male,Franciscostad,Drill,25-02-2024,Home Improvement,1,107.3,19-09-2023,8,Makita,Medium,"['Furniture', 'Appliances', 'Groceries', 'Toys']",4
Lisa Collins,jessicaruiz@example.net,61,Male,East Diana,First Aid,01-07-2024,Health & Wellness,5,386.13,12-10-2023,14,Neosporin,Low,['Electronics'],3
Rebecca Heath,hannahjohnson@example.net,33,Male,Lake Toddside,Kayak,26-02-2024,Sports & Outdoors,4,151.37,25-09-2023,16,Intex,Low,"['Toys', 'Home Improvement', 'Home Improvement']",5
Alan Mitchell,jgraves@example.org,56,Male,West Olivia,Makeup,10-07-2024,Beauty,5,38.23,19-10-2023,12,Revlon,Medium,"['Appliances', 'Sports & Outdoors', 'Sports & Outdoors', 'Groceries']",4
Gina Aguilar,hernandezandrea@example.com,30,Other,West Matthew,Tent,14-03-2024,Sports & Outdoors,3,227.19,20-10-2023,19,ALPS Mountaineering,High,"['Home Improvement', 'Toys', 'Appliances']",5
Jacob Fowler,steeledanielle@example.org,28,Male,South Savannah,Butter,15-01-2024,Groceries,5,334.18,04-05-2023,20,Great Value,Medium,"['Appliances', 'Toys', 'Clothing', 'Sports & Outdoors']",4
Dustin Wallace,brittany98@example.net,48,Other,North Christopherside,Puzzle,11-06-2024,Toys,5,485.53,05-04-2024,3,Melissa & Doug,Medium,"['Clothing', 'Electronics', 'Appliances']",3
Stephanie Anderson,henry03@example.org,39,Male,Allenmouth,Pain Relief,20-07-2024,Health & Wellness,3,235.19,25-04-2024,20,Bayer,High,"['Furniture', 'Toys', 'Beauty', 'Appliances']",3
Megan Martin,barnettheather@example.org,69,Other,Stephanieville,Chair,31-05-2024,Furniture,3,28.66,16-11-2023,19,Better Homes & Gardens,Low,"['Health & Wellness', 'Groceries', 'Appliances', 'Clothing', 'Toys']",4
Kari Duncan,fernandoholt@example.com,67,Male,Duranmouth,Sofa,09-07-2024,Furniture,5,244.67,03-05-2024,14,Serta,Low,"['Electronics', 'Home Improvement']",2
Andrea Marsh,briannamills@example.com,59,Female,Josephmouth,Drill,16-03-2024,Home Improvement,1,54.92,01-07-2023,15,Makita,Medium,"['Toys', 'Toys', 'Health & Wellness']",4
Pamela Norton,qmorgan@example.com,49,Male,North Darlenefort,Laptop,12-04-2024,Electronics,5,182.32,28-08-2023,13,Apple,High,"['Clothing', 'Clothing']",2
Ryan Young,smorales@example.org,51,Female,East Charlesview,Tent,27-05-2024,Sports & Outdoors,2,493.76,06-01-2024,1,ALPS Mountaineering,Low,"['Clothing', 'Furniture', 'Toys']",3
Tanya Smith,dadams@example.net,68,Other,Hannaborough,Smartphone,04-03-2024,Electronics,4,461.09,18-09-2023,3,OnePlus,Medium,"['Health & Wellness', 'Groceries', 'Clothing', 'Health & Wellness']",2
Veronica Patterson,russelldalton@example.org,40,Other,Lake Amy,Lego,05-07-2024,Toys,5,118.16,05-12-2023,8,Lego,High,"['Appliances', 'Groceries', 'Groceries', 'Home Improvement', 'Health & Wellness']",5
Philip Owen,grace17@example.net,49,Male,Davidport,Hair Care,01-05-2024,Beauty,4,92.85,21-03-2024,3,Garnier,Medium,"['Furniture', 'Beauty', 'Appliances']",4
Zachary Perez,matthewmadden@example.net,45,Female,Port Amy,Pain Relief,01-07-2024,Health & Wellness,4,132.05,24-08-2023,4,Tylenol,Low,"['Toys', 'Toys']",5
Joe Scott,oconnoranna@example.com,45,Female,Kennethside,Drill,21-01-2024,Home Improvement,3,66.16,05-06-2023,15,Makita,High,"['Electronics', 'Sports & Outdoors']",5
James Steele,yevans@example.net,54,Female,East Randy,Shirt,12-07-2024,Clothing,4,151.92,13-06-2024,16,Wrangler,High,"['Toys', 'Home Improvement', 'Home Improvement']",2
Jose Fletcher,hwilliams@example.com,33,Other,New Charles,Bed,27-07-2024,Furniture,1,113.7,18-10-2023,6,Serta,Medium,"['Appliances', 'Groceries', 'Sports & Outdoors', 'Sports & Outdoors', 'Beauty']",4
Robert Schmidt,mclaughlinbrian@example.com,59,Female,New Tonya,Eggs,04-01-2024,Groceries,1,386.24,01-07-2023,5,Great Value,Low,"['Health & Wellness', 'Groceries', 'Appliances', 'Beauty']",4
Zachary Stephens,ashleyarmstrong@example.com,42,Female,Baldwinside,Tool Set,22-01-2024,Home Improvement,3,390.77,12-09-2023,6,Stanley,Medium,['Clothing'],2
Michael Wilson,osborneeric@example.com,43,Female,Lake Alexander,Bike,21-06-2024,Sports & Outdoors,4,395.09,20-06-2024,1,Huffy,Low,"['Health & Wellness', 'Sports & Outdoors', 'Furniture', 'Groceries']",3
Natalie Stewart,ucrawford@example.net,62,Male,Port Gregoryland,Tool Set,01-01-2024,Home Improvement,1,43.91,18-11-2023,20,Stanley,Low,"['Clothing', 'Groceries', 'Groceries']",2
Timothy Leach,ncarney@example.com,44,Male,Willistown,Skincare,13-01-2024,Beauty,1,85.58,29-07-2023,15,Neutrogena,High,"['Home Improvement', 'Furniture', 'Furniture', 'Sports & Outdoors', 'Groceries']",5
Dillon Castillo,wendyroman@example.org,20,Female,Marissaville,Bread,09-04-2024,Groceries,1,73.74,07-08-2023,19,Sara Lee,High,"['Electronics', 'Furniture']",5
Joshua Frye,sanchezchristopher@example.org,24,Female,North Julie,Shirt,20-07-2024,Clothing,3,411.3,18-12-2023,17,Fruit of the Loom,High,"['Home Improvement', 'Furniture', 'Clothing', 'Toys']",2
Breanna Henderson,emoore@example.org,68,Female,Harrisshire,Supplements,21-03-2024,Health & Wellness,5,8.65,14-09-2023,15,Nature Made,Low,"['Toys', 'Beauty', 'Sports & Outdoors', 'Sports & Outdoors', 'Electronics']",4
Michael Neal,lindasullivan@example.net,44,Female,South Bryan,Headphones,23-06-2024,Electronics,1,317.99,17-12-2023,20,Bose,High,"['Beauty', 'Beauty', 'Furniture', 'Home Improvement', 'Toys']",2
Ann Lee,erikrodriguez@example.net,68,Female,Lake Emilyland,Drill,08-03-2024,Home Improvement,3,486.49,09-06-2023,9,DeWalt,Medium,"['Groceries', 'Clothing', 'Sports & Outdoors']",1
Candice Stanley,lori87@example.org,65,Other,Paulborough,Drill,19-02-2024,Home Improvement,2,32.02,08-10-2023,13,Makita,High,"['Sports & Outdoors', 'Groceries']",3
Becky Fisher,nholloway@example.org,27,Male,Millertown,Sofa,07-02-2024,Furniture,4,82.49,14-08-2023,1,Mainstays,High,"['Beauty', 'Clothing', 'Electronics', 'Groceries']",3
Tyler Mcneil,chenwayne@example.org,20,Male,Lake James,Eggs,29-01-2024,Groceries,1,343.76,11-01-2024,19,Great Value,Medium,"['Home Improvement', 'Health & Wellness', 'Beauty', 'Furniture']",4
John Potts,ryan93@example.com,33,Other,Paynechester,Car,13-04-2024,Toys,4,295.56,14-04-2023,9,Matchbox,Low,"['Furniture', 'Electronics', 'Clothing', 'Health & Wellness', 'Groceries']",2
Jordan Rodriguez,whoffman@example.org,49,Other,New Melissatown,Paint,19-04-2024,Home Improvement,3,166.32,30-05-2023,13,Behr,Medium,"['Beauty', 'Furniture']",2
Taylor Cooke,rogerselizabeth@example.org,18,Other,Mayoville,Bread,08-07-2024,Groceries,4,212.59,01-06-2024,4,Sara Lee,High,"['Toys', 'Sports & Outdoors', 'Sports & Outdoors']",3
Elizabeth Fitzpatrick,millernathan@example.net,58,Male,Lambertland,Skincare,11-02-2024,Beauty,1,237,30-11-2023,2,Aveeno,Medium,"['Toys', 'Health & Wellness', 'Appliances', 'Clothing']",3
Richard Oliver,lowejeffrey@example.com,26,Other,New Kevin,Drill,14-07-2024,Home Improvement,2,17.69,14-04-2024,17,Black+Decker,High,"['Appliances', 'Toys', 'Health & Wellness']",3
